title;release_date;popularity;vote_average;vote_count;original_language;overview
Deadpool & Wolverine;24/07/2024;4.210.061;7.744;2735;en;Um apático Wade Wilson trabalha duro na vida civil. Seus dias como mercenário moralmente flexível, Deadpool, ficou para trás. Quando seu planeta enfrenta uma ameaça, Wade deve relutantemente vestir-se novamente com um ainda mais relutante... relutante? Mais relutante? Ele deve convencer um Wolverine relutante em... Porra. As sinopses são tão estúpidas.
Borderlands: O Destino do Universo Está em Jogo;07/08/2024;4.015.462;5.842;404;en;Uma infame caçadora de recompensas retorna ao lugar onde cresceu, o caótico planeta Pandora, e forma uma aliança inesperada com uma equipe de desajustados para encontrar a filha desaparecida...
The Killer;22/08/2024;2.281.391;6.442;137;en;Um assassino tenta fazer as pazes em um esforço para restaurar a visão de uma bela e jovem cantora.
Os Fantasmas Ainda se Divertem: Beetlejuice Beetlejuice;04/09/2024;2.257.925;7.25;194;en;Depois de uma tragédia familiar inesperada, três gerações da família Deetz voltam para casa em Winter River. Ainda assombrada por Beetlejuice, a vida de Lydia vira de cabeça para baixo quando sua filha adolescente rebelde, Astrid, descobre a misteriosa maquete da cidade no sótão, e o portal para a vida após a morte é acidentalmente aberto. Com problemas em ambos os reinos, é apenas uma questão de tempo até que alguém diga o nome de Beetlejuice três vezes, e o demônio travesso volte para levar ao mundo seu próprio estilo de caos.
Divertida Mente 2;11/06/2024;2.168.478;7.679;3406;en;"""Divertida Mente 2"", da Disney e da Pixar, retorna à mente da adolescente Riley, e o faz no momento em que a sala de comando está passando por uma demolição repentina para dar lugar a algo totalmente inesperado: novas emoções! Alegria, Tristeza, Raiva, Medo e Nojinho não sabem bem como reagir quando Ansiedade aparece, e tudo indica que ela não está sozinha."
Crepúsculo dos Guerreiros: Walled In;23/04/2024;2.045.683;6.901;116;cn;Na década de 1980, o jovem problemático Chan Lok Kwun entra acidentalmente na Cidade Murada, descobre a ordem em meio ao caos e aprende importantes lições de vida ao longo do caminho. Na Cidade Murada, ele se torna amigo íntimo de Shin, Décimo Segundo Mestre e AV. Sob a liderança de Tornado, eles resistem à invasão do vilão Mr Big, em uma série de batalhas ferozes. Juntos, eles juram proteger o porto seguro que é a Cidade Murada de Kowloon.
Meu Malvado Favorito 4;20/06/2024;1.936.709;7.22;1494;en;Nesta sequência, o vilão mais amado do planeta retorna e agora Gru, Lucy, Margo, Edith e Agnes dão as boas-vindas a um novo membro da família: Gru Jr., que pretende atormentar seu pai. Enquanto se adapta com o pequeno, Gru enfrenta um novo inimigo, Maxime Le Mal, forçando sua namorada Valentina e a família a fugir do perigo.
Bad Boys: Até o Fim;05/06/2024;1.701.142;7.564;1852;en;Depois que seu falecido ex-capitão é incriminado, Lowrey e Burnett tentam limpar seu nome, apenas para acabarem se tornando os mais procurados de Miami.
Os Fantasmas se Divertem;30/03/1988;1.646.216;7.382;6861;en;O casarão de uma dupla de fantasmas super atrapalhados foi invadido por novaiorquinos sofisticados. Para espantá-los, eles contratam um profissional: um fantasma especialista em assustar humanos, que vai tentar de tudo - adotar formas estranhas, armar ciladas e engraçadíssimas armadilhas.
Twisters;10/07/2024;1.592.437;7.008;1300;en;Dois caçadores de tempestades arriscam suas vidas na tentativa de testar um sistema experimental de alerta meteorológico.
Armadilha;31/07/2024;1.385.227;6.539;919;en;Um pai e sua filha adolescente assistem a um badalado show de música pop, quando percebem que estão no epicentro de um evento sombrio e sinistro.
Gunner;16/08/2024;1.201.934;5.2;63;en;
KILL: O Massacre no Trem;03/07/2024;1.124.455;6.822;121;hi;Uma viagem de trem por Nova Deli, capital da Índia. O cenário logo se transforma em um campo de batalha quando uma dupla de soldados enfrenta um exército de bandidos invasores.
A Liga;15/08/2024;1.114.222;6.25;581;en;Recrutado para uma missão inesperada, um cara comum que trabalha como empreiteiro vira espião.
O Mestre da Fumaça;18/05/2023;1.102.413;7.5;4;pt;Determinado a defender a família de uma maldição da máfia, um jovem treina com um mestre lendário que ensina um estilo de luta um tanto polêmico.
É Assim Que Acaba;07/08/2024;1.019.163;6.794;262;en;Lily Bloom, uma mulher que supera uma infância traumática para começar uma nova vida em Boston e perseguir o sonho de sua vida de abrir seu próprio negócio. Um encontro casual com o charmoso neurocirurgião Ryle Kincaid desencadeia uma conexão intensa, mas à medida que os dois se apaixonam profundamente, Lily começa a ver lados de Ryle que a lembram do relacionamento de seus pais. Quando o primeiro amor de Lily, Atlas Corrigan, reaparece repentinamente em sua vida, seu relacionamento com Ryle é abalado, e Lily percebe que deve aprender a confiar em sua própria força para fazer uma escolha impossível para o seu futuro.
Alien: Romulus;13/08/2024;1.008.074;7.1;920;en;Enquanto vasculham as profundezas de uma estação espacial abandonada, um grupo de jovens colonizadores espaciais se depara com a forma de vida mais aterrorizante do universo.
Longlegs - Vínculo Mortal;10/07/2024;1.003.527;6.7;746;en;A agente do FBI Lee Harker é designada para o caso de um serial killer que toma rumos inesperados, revelando indícios de ocultismo. Harker descobre uma conexão pessoal com o assassino e precisa detê-lo antes que ele mate novamente.
Um Lugar Silencioso: Dia Um;26/06/2024;932.659;6.817;1676;en;Uma mulher chamada Sam deve sobreviver a uma invasão na cidade de Nova York por criaturas alienígenas sedentos de sangue com audição ultrassônica.
Jackpot: Loteria Mortal!;13/08/2024;919.624;6.382;423;en;Jackpot: Loteria Mortal conta a história da vencedora da loteria criada recentemente na Califórnia, Katie Kim (Awkafina) e sua luta para sobrevir e reivindicar seu bilhete premiado com o apoio do Cassidy (John Cena), enquanto fogem do Louis Lewis (Simu Liu) e dos caçadores do prêmio.
